"medcode"	"term"	"group"	"database"
"5726"	"[x]mood - affective disorders"	"depression"	"Gold"
"12399"	"depression annual review"	"depression"	"Gold"
"1055"	"agitated depression"	"depression"	"Gold"
"15099"	"recurrent major depressive episode"	"depression"	"Gold"
"36616"	"[x]monopolar depression nos"	"depression"	"Gold"
"3291"	"[x]depressive disorder nos"	"depression"	"Gold"
"15117"	"[v]personal history of affective disorder"	"depression"	"Gold"
"36246"	"brief depressive reaction nos"	"depression"	"Gold"
"4639"	"[x]depressive episode"	"depression"	"Gold"
"42857"	"[x]persistent mood affective disorders"	"depression"	"Gold"
"8478"	"reactive depressive psychosis"	"depression"	"Gold"
"50998"	"[x]other single mood affective disorders"	"depression"	"Gold"
"25697"	"recurrent major depressive episodes, severe, no psychosis"	"depression"	"Gold"
"19696"	"[x]recurrent episodes of psychogenic depression"	"depression"	"Gold"
"8902"	"[x]recurrent episodes of reactive depression"	"depression"	"Gold"
"8851"	"[x]recurrent episodes of depressive reaction"	"depression"	"Gold"
"32159"	"single major depressive episode, severe, with psychosis"	"depression"	"Gold"
"655"	"anxiety with depression"	"depression"	"Gold"
"23731"	"[x]endogenous depression with psychotic symptoms"	"depression"	"Gold"
"101153"	"[x]recurr major depr ep, severe with psych, psych in remiss"	"depression"	"Gold"
"30583"	"depression - enhanced services administration"	"depression"	"Gold"
"12099"	"[x]severe depressive episode with psychotic symptoms"	"depression"	"Gold"
"29921"	"[x]other recurrent mood affective disorders"	"depression"	"Gold"
"4323"	"chronic depression"	"depression"	"Gold"
"37090"	"[x]unspecified mood affective disorder"	"depression"	"Gold"
"43324"	"single major depressive episode, partial or unspec remission"	"depression"	"Gold"
"35671"	"recurrent major depressive episodes, unspecified"	"depression"	"Gold"
"10610"	"single major depressive episode"	"depression"	"Gold"
"25563"	"recurrent major depressive episode nos"	"depression"	"Gold"
"101054"	"[x]single major depr ep, severe with psych, psych in remiss"	"depression"	"Gold"
"28863"	"[x]single episode of reactive depressive psychosis"	"depression"	"Gold"
"29784"	"[x]recurrent depressive disorder, current episode mild"	"depression"	"Gold"
"10015"	"depressed mood"	"depression"	"Gold"
"9055"	"[x]single episode of depressive reaction"	"depression"	"Gold"
"7604"	"[x]single episode of reactive depression"	"depression"	"Gold"
"18510"	"[x]single episode of psychogenic depression"	"depression"	"Gold"
"17770"	"psychotic reactive depression"	"depression"	"Gold"
"56609"	"[x]single episode of masked depression nos"	"depression"	"Gold"
"10720"	"[x]atypical depression"	"depression"	"Gold"
"5987"	"[x] reactive depression nos"	"depression"	"Gold"
"28248"	"[x]prolonged single episode of reactive depression"	"depression"	"Gold"
"48970"	"exception reporting: depression quality indicators"	"depression"	"Gold"
"3292"	"[x]recurrent depressive disorder"	"depression"	"Gold"
"2970"	"[x]depressive episode, unspecified"	"depression"	"Gold"
"85852"	"depression monitoring telephone invite"	"depression"	"Gold"
"9667"	"[x]severe depressive episode without psychotic symptoms"	"depression"	"Gold"
"91105"	"depression monitoring third letter"	"depression"	"Gold"
"6482"	"recurrent depression"	"depression"	"Gold"
"55384"	"recurrent major depressive episodes, in full remission"	"depression"	"Gold"
"19054"	"[x]recurrent brief depressive episodes"	"depression"	"Gold"
"22806"	"[x]single episode major depression w'out psychotic symptoms"	"depression"	"Gold"
"73991"	"[x]vital depression, recurrent without psychotic symptoms"	"depression"	"Gold"
"11252"	"[x]major depression, recurrent without psychotic symptoms"	"depression"	"Gold"
"1908"	"o/e - depressed"	"depression"	"Gold"
"29520"	"[x]recurrent depressive disorder, current episode moderate"	"depression"	"Gold"
"44848"	"depression management programme"	"depression"	"Gold"
"57409"	"single major depressive episode, in full remission"	"depression"	"Gold"
"29342"	"recurrent major depressive episodes, mild"	"depression"	"Gold"
"98417"	"[x]major depression, severe with psychotic symptoms"	"depression"	"Gold"
"6854"	"[x]other depressive episodes"	"depression"	"Gold"
"9211"	"[x]moderate depressive episode"	"depression"	"Gold"
"50243"	"[x]other persistent mood affective disorders"	"depression"	"Gold"
"24112"	"[x]single episode of psychotic depression"	"depression"	"Gold"
"1533"	"brief depressive reaction"	"depression"	"Gold"
"11329"	"[x]endogenous depression without psychotic symptoms"	"depression"	"Gold"
"41989"	"[x]single episode agitated depressn w'out psychotic symptoms"	"depression"	"Gold"
"59386"	"[x]single episode vital depression w'out psychotic symptoms"	"depression"	"Gold"
"11913"	"[x]mixed anxiety and depressive disorder"	"depression"	"Gold"
"28970"	"excepted from depression quality indicators: patient unsuita"	"depression"	"Gold"
