"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidiabetic"
"69440"	"Neon Verifine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"69442"	"Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"69459"	"Alogliptin 25mg tablets (Ennogen Healthcare Ltd)"	"Alogliptin"	"25mg"	"Tablet"	"Oral"	"06010203"	"Alogliptin"
"69540"	"Saxagliptin 5mg / Dapagliflozin 10mg tablets"	"Dapagliflozin/Saxagliptin"	"5mg + 10mg"	"Tablet"	"Oral"	"06010203"	"Dapagliflozin/Saxagliptin"
"69548"	"Saxenda 6mg/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd)"	"Liraglutide"	"6mg/1ml"	"Solution for injection"	"Subcutaneous"	"04050000"	"Liraglutide"
"69562"	"Neon Verifine Safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"69583"	"Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"69654"	"Qtern 5mg/10mg tablets (AstraZeneca UK Ltd)"	"Dapagliflozin/Saxagliptin"	"5mg + 10mg"	"Tablet"	"Oral"	"06010203"	"Dapagliflozin/Saxagliptin"
"69658"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190200"	"Insulin"
"69669"	"Gliclazide 160mg/5ml oral suspension"	"Gliclazide"	"32mg/1ml"	"Oral suspension"	"Oral"	"06010201"	"Gliclazide"
"69715"	"Fiasp 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"69823"	"Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"69852"	"Microdot Verifine Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (Cambridge Sensors Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"69885"	"Pioglitazone 30mg tablets (Consilient Health Ltd)"	"Pioglitazone"	"30mg"	"Tablet"	"Oral"	"06010203"	"Pioglitazone"
"69947"	"Albiglutide 30mg powder and solvent for solution for injection pre-filled disposable devices"	"Albiglutide"	"30mg"	"Powder and solvent for solution for injection"	"Subcutaneous"	"06010203"	"Albiglutide"
"70055"	"Fiasp Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"70422"	"AllStar hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Purple (Sanofi)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"70432"	"Bilxona 30mg modified-release tablets (Actavis UK Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"06010201"	"Gliclazide"
"70463"	"Synjardy 12.5mg/850mg tablets (Boehringer Ingelheim Ltd)"	"Empagliflozin/Metformin"	"12.5mg + 850mg"	"Tablet"	"Oral"	"06010202/06010203"	"Empagliflozin/Metformin"
"70477"	"Glucient SR 750mg tablets (Consilient Health Ltd)"	"Metformin"	"750mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"70490"	"Bilxona 60mg modified-release tablets (Actavis UK Ltd)"	"Gliclazide"	"60mg"	"Modified-release tablet"	"Oral"	"06010201"	"Gliclazide"
"70744"	"Metformin 500mg/5ml oral solution sugar free (Focus Pharmaceuticals Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"06010202"	"Metformin"
"70807"	"AllStar hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Teal (Sanofi)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"70900"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"70910"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"71012"	"Metformin 500mg tablets (Phoenix Healthcare Distribution Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"71020"	"Acarbose 50mg tablets (Actavis UK Ltd)"	"Acarbose"	"50mg"	"Tablet"	"Oral"	"06010203"	"Acarbose"
"71118"	"Insulatard 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"71137"	"Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010102"	"Insulin"
"71198"	"Metformin 500mg tablets (Zanza Laboratories Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"71247"	"PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Prosum Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"71340"	"Mixtard 30 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"71351"	"Lantus 100units/ml solution for injection 3ml cartridges (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"71361"	"Humulin I 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"71369"	"NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pen (Sigma Pharmaceuticals Plc)"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"71395"	"Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"71428"	"Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"06010102"	"Insulin"
"71430"	"Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pen (Waymade Healthcare Plc)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"71476"	"Glimepiride 2mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Glimepiride"	"2mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"71477"	"Glimepiride 1mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Glimepiride"	"1mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"71487"	"BD Viva hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Becton, Dickinson UK Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"71550"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"71665"	"Glimepiride 3mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Glimepiride"	"3mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"71667"	"Glimepiride 1mg tablets (Teva UK Ltd)"	"Glimepiride"	"1mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"71781"	"Gliclazide 40mg tablets (Teva UK Ltd)"	"Gliclazide"	"40mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"71804"	"AllStar Pro hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Silver (Sanofi)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"71890"	"Metformin 500mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"06010202"	"Metformin"
"71958"	"AllStar Pro hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Blue (Sanofi)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"72001"	"Metformin 1g modified-release tablets (DE Pharmaceuticals)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"72046"	"Metformin 500mg tablets (DE Pharmaceuticals)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"72052"	"Metformin 500mg Tablet (Lagap)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"72107"	"Meijumet 500mg modified-release tablets (Medreich Plc)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"72163"	"Pioglitazone 45mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Pioglitazone"	"45mg"	"Tablet"	"Oral"	"06010203"	"Pioglitazone"
"72187"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"72324"	"GlucoRx CarePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"72479"	"Humulin R KwikPen 500units/ml solution for injection 3ml pre-filled pen (Imported (United States))"	"Insulin"	"500unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010100"	"Insulin"
"72539"	"Sitagliptin 50mg/5ml oral solution"	"Sitagliptin"	"10mg/1ml"	"Oral solution"	"Oral"	"06010203"	"Sitagliptin"
"72559"	"Human Insulatard Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"72695"	"Metformin 500mg Tablet (Celltech Pharma Europe Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"72852"	"Gliclazide 40mg tablets (Accord Healthcare Ltd)"	"Gliclazide"	"40mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"72862"	"GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"73068"	"CareFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"73150"	"Sitagliptin 100mg tablets (Waymade Healthcare Plc)"	"Sitagliptin"	"100mg"	"Tablet"	"Oral"	"06010203"	"Sitagliptin"
"73252"	"Yaltormin SR 500mg tablets (Wockhardt UK Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"73254"	"Yaltormin SR 1000mg tablets (Wockhardt UK Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"73282"	"Humalog Junior KwikPen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"73285"	"Metformin 500mg tablets (Waymade Healthcare Plc)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"73303"	"Metformin 500mg/5ml oral solution sugar free (Colonis Pharma Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"06010202"	"Metformin"
"73305"	"Mylife Penfine Classic hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Ypsomed Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"73460"	"Metformin 500mg/5ml oral solution sugar free (Actavis UK Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"00000000"	"Metformin"
"73511"	"Yaltormin SR 750mg tablets (Wockhardt UK Ltd)"	"Metformin"	"750mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"73525"	"Metformin 500mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"06010202"	"Metformin"
"73673"	"Metformin 500mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"06010202"	"Metformin"
"73676"	"CareFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"73684"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"73718"	"4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (Nipro Diagnostics (UK) Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"73745"	"HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (HTL-STREFA S.A.)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"73808"	"Metformin 500mg/5ml oral solution sugar free (Actavis UK Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"06010202"	"Metformin"
"73892"	"Metformin 500mg tablets (Relonchem Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"74020"	"NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"74021"	"Metformin 250mg/5ml oral solution"	"Metformin"	"50mg/1ml"	"Oral solution"	"Oral"	"06010202"	"Metformin"
"74051"	"Onglyza 5mg tablets (Sigma Pharmaceuticals Plc)"	"Saxagliptin"	"5mg"	"Tablet"	"Oral"	"06010203"	"Saxagliptin"
"74071"	"Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Waymade Healthcare Plc)"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"74179"	"NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pen (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"74388"	"Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"74389"	"Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pen (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"74391"	"Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Sigma Pharmaceuticals Plc)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"74392"	"Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pen (Lexon (UK) Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010101"	"Insulin"
"74479"	"Insulin lispro 100units/ml solution for injection 3ml pre-filled pen (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"74507"	"CareFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"74680"	"NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (DE Pharmaceuticals)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"74734"	"Metformin 850mg capsules"	"Metformin"	"850mg"	"Capsule"	"Oral"	"06010202"	"Metformin"
"74824"	"Actrapid 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"00000000"	"Insulin"
"74842"	"Humulin M3 100units/ml suspension for injection 3ml cartridges (Mawdsley-Brooks & Company Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"74845"	"Humulin I 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"74860"	"NovoNorm 1mg tablets (Waymade Healthcare Plc)"	"Repaglinide"	"1mg"	"Tablet"	"Oral"	"06010203"	"Repaglinide"
"74862"	"Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pen (Mawdsley-Brooks & Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"00000000"	"Insulin"
"74888"	"CareFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"74970"	"Pur-n Isophane 100unit/ml Injection (C P Pharmaceuticals Ltd)"	"Insulin"	"100unit/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"74996"	"Neon Verifine Safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"75008"	"Glibenclamide 2.5mg Tablet (Berk Pharmaceuticals Ltd)"	"Glibenclamide"	"2.5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"75329"	"Insulin lispro Sanofi 100units/ml solution for injection 3ml pre-filled pen (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"75397"	"Semaglutide 0.25mg/0.19ml solution for injection 1.5ml pre-filled disposable device"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"06010203"	"Semaglutide"
"75550"	"Insulin isophane biphasic human 15/85 100units/ml suspension for injection 5ml vials"	"Insulin"	"85unit/1ml + 15unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"75651"	"4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Nipro Diagnostics (UK) Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"75700"	"Metformin 500mg/5ml oral solution sugar free (Waymade Healthcare Plc)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"06010202"	"Metformin"
"75740"	"Ozempic 0.25mg/0.19ml solution for injection 1.5ml pre-filled pen (Novo Nordisk Ltd)"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"06010203"	"Semaglutide"
"75778"	"Metformin 500mg tablets (Crescent Pharma Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"75823"	"Gliclazide 40mg tablets (Waymade Healthcare Plc)"	"Gliclazide"	"40mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"75938"	"Ozempic 0.5mg/0.37ml solution for injection 1.5ml pre-filled pen (Novo Nordisk Ltd)"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"06010203"	"Semaglutide"
"75987"	"Semaglutide 0.5mg/0.37ml solution for injection 1.5ml pre-filled disposable device"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"06010203"	"Semaglutide"
"76021"	"Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd)"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"06010203"	"Semaglutide"
"76162"	"Humulin I 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"76163"	"Lantus 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"76164"	"Humalog 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"76223"	"HaemoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (HTL-STREFA S.A.)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"76512"	"Insulin biphasic isophane human emp 30:70; 100 units/ml Injection"	"Insulin"	"30:70; 100 units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"76533"	"Insulin lispro Sanofi 100units/ml solution for injection 10ml vials (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"76624"	"Semaglutide 1mg/0.74ml solution for injection 3ml pre-filled disposable device"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"06010203"	"Semaglutide"
"76660"	"Insulin lispro Sanofi 100units/ml solution for injection 3ml cartridges (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"76728"	"Semglee 100units/ml solution for injection 3ml pre-filled pen (Mylan)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"76776"	"Suliqua 100units/ml / 33micrograms/ml solution for injection 3ml pre-filled SoloStar pen (Sanofi)"	"Lixisenatide/Insulin"	"33microgram/1ml + 100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102/06010203"	"Lixisenatide/Insulin"
"76777"	"Suliqua 100units/ml / 50micrograms/ml solution for injection 3ml pre-filled SoloStar pen (Sanofi)"	"Lixisenatide/Insulin"	"50microgram/1ml + 100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102/06010203"	"Lixisenatide/Insulin"
"76880"	"Microdot Max Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (Cambridge Sensors Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"76922"	"Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Insulin"	"15unit/1ml + 85unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"76942"	"Needle free Insulin delivery system"	"Insulin"	NA	NA	NA	"71190100"	"Insulin"
"76975"	"Humalog 100units/ml solution for injection 10ml vials (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"76988"	"NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"76991"	"Humalog 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"77012"	"Humalog 100units/ml solution for injection 10ml vials (DE Pharmaceuticals)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"77059"	"Pork Actrapid 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous/Intramuscular"	"06010101"	"Insulin"
"77101"	"Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"77284"	"Insulin isophane human 100iu/ml Injection"	"Insulin"	"100iu/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"77291"	"Gliclazide 80mg tablets (Kent Pharmaceuticals Ltd)"	"Gliclazide"	"80mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"77437"	"Amaryl 1mg tablets (Sigma Pharmaceuticals Plc)"	"Glimepiride"	"1mg"	"Tablet"	"Oral"	"06010201"	"Glimepiride"
"77498"	"Gliclazide 160mg tablets"	"Gliclazide"	"160mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"77753"	"Meijumet 1000mg modified-release tablets (Medreich Plc)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"77762"	"Ertugliflozin 5mg tablets"	"Ertugliflozin"	"5mg"	"Tablet"	"Oral"	"06010205"	"Ertugliflozin"
"77777"	"4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge (Nipro Diagnostics (UK) Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"77794"	"Toujeo 300units/ml solution for injection 3ml pre-filled DoubleStar pen (Sanofi)"	"Insulin"	"300unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"77805"	"Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"200unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010101"	"Insulin"
"77978"	"Januvia 50mg tablets (Pharmaram Ltd)"	"Sitagliptin"	"50mg"	"Tablet"	"Oral"	"06010204"	"Sitagliptin"
"78125"	"Gliclazide 30mg modified-release tablets (Sigma Pharmaceuticals Plc)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"06010201"	"Gliclazide"
"78258"	"Pioglitazone 15mg/5ml oral suspension"	"Pioglitazone"	"3mg/1ml"	"Oral suspension"	"Oral"	"06010207"	"Pioglitazone"
